workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_1792,the seat is square and bigger,38YMOXR4MWSYB0DU0IKU6V722F7W6X,180,c10b1973a0d692ef910979f825490a99,chair,ShapeNet,662409af279f322eeb82005949031741,chair,ShapeNet,False,chair/ShapeNet/662409af279f322eeb82005949031741,chair/ShapeNet/c10b1973a0d692ef910979f825490a99,False,chair,chair,1,"['the', 'seat', 'is', 'square', 'and', 'bigger']",6,the seat is square and bigger,train,test,train,test,"[1, 10, 2255, 7, 50, 47, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2114,the seat is bulky,3TK8OJTYM3ET6HVUP4E7QTF5QBMPVD,160,ec454747a071b83291a302a171d24a87,chair,ShapeNet,cbbf0aacb76a1ed17b20cb946bceb58f,chair,ShapeNet,False,chair/ShapeNet/cbbf0aacb76a1ed17b20cb946bceb58f,chair/ShapeNet/ec454747a071b83291a302a171d24a87,False,chair,chair,4,"['the', 'seat', 'is', 'bulky']",4,the seat is bulky,test,test,test,test,"[1, 10, 2255, 7, 483, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_947,its back rest is more high and less inclined,3A9AA95ATYFC8NGFJDWUMVL6DQF5PN,38,46c6dec63dd7c45854ca97f654da3901,chair,ShapeNet,1926843fb9da47ad8852b93498ca8c83,chair,ShapeNet,False,chair/ShapeNet/1926843fb9da47ad8852b93498ca8c83,chair/ShapeNet/46c6dec63dd7c45854ca97f654da3901,True,chair,chair,3,"['its', 'back', 'rest', 'is', 'more', 'high', 'and', 'less', 'inclined']",9,its back rest is more high and less inclined,train,test,train,test,"[1, 5, 183, 1154, 7, 34, 49, 47, 229, 2617, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1457,Chair is a plain tulip chair,31IBVUNM9USHF460B1I2EZ11O56VFN,336,a147244346d84fe398e0d1738edd4f19,chair,ShapeNet,cd9702520ad57689bbc7a6acbd8f058b,chair,ShapeNet,False,chair/ShapeNet/cd9702520ad57689bbc7a6acbd8f058b,chair/ShapeNet/a147244346d84fe398e0d1738edd4f19,False,chair,chair,0,"['Chair', 'is', 'a', 'plain', 'tulip', 'chair']",6,Chair is a plain tulip chair,train,test,train,test,"[1, 3, 7, 26, 559, 463, 2251, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2102,the seating section is more girthy,3Q5C1WP23OU9RVXDYBL4LZ38A80516,31,5d02aed0e9c93e829b9f2eb77f5e247e,chair,ShapeNet,d764960666572084b1ea4e06e88051f3,chair,ShapeNet,False,chair/ShapeNet/d764960666572084b1ea4e06e88051f3,chair/ShapeNet/5d02aed0e9c93e829b9f2eb77f5e247e,True,chair,chair,4,"['the', 'seating', 'section', 'is', 'more', 'girthy']",6,the seating section is more girthy,val,test,val,test,"[1, 10, 2338, 354, 7, 34, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1712,the arms are more skinny,3I2PTA7R3VN0QI2XQDFPOPUYF9IKQU,49,3b0ec945e7290c3a6a0677e97a0ab6ed,chair,ShapeNet,a16c172406430b6af7628281ecb18112,chair,ShapeNet,False,chair/ShapeNet/a16c172406430b6af7628281ecb18112,chair/ShapeNet/3b0ec945e7290c3a6a0677e97a0ab6ed,False,chair,chair,2,"['the', 'arms', 'are', 'more', 'skinny']",5,the arms are more skinny,train,test,train,test,"[1, 10, 2232, 16, 34, 282, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1190,there is a gap between the back and the seat,3X65QVEQI2G7GNAW6VQVJKIW0ZELCV,350,chair_0930,chair,ModelNet,38bdba5f6455c5ff91663a74ccd2338,chair,ShapeNet,False,chair/ShapeNet/38bdba5f6455c5ff91663a74ccd2338,chair/ModelNet/chair_0930,True,chair,chair,1,"['there', 'is', 'a', 'gap', 'between', 'the', 'back', 'and', 'the', 'seat']",10,there is a gap between the back and the seat,train,test,train,test,"[1, 15, 7, 26, 707, 657, 10, 183, 47, 10, 2255, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_505,it has a little piece emerging from under the seat,3K4J6M3CXGM31GZXBQXO0XNZO0LAGE,71,c585ee093bfd52af6512b7b24f3d84,chair,ShapeNet,30f077da43f30e64c862eec8232fff1e,chair,ShapeNet,False,chair/ShapeNet/30f077da43f30e64c862eec8232fff1e,chair/ShapeNet/c585ee093bfd52af6512b7b24f3d84,True,chair,chair,4,"['it', 'has', 'a', 'little', 'piece', 'emerging', 'from', 'under', 'the', 'seat']",10,it has a little piece emerging from under the seat,train,test,train,test,"[1, 23, 24, 26, 907, 65, 3859, 113, 922, 10, 2255, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1651,it looks more calm,3YMTUJH0DU9S4W5MMPM4MDGP2S8T44,48,341e24df542e0676d42b9650f19dd425,chair,ShapeNet,3684490885c259e688235335f9e630b0,chair,ShapeNet,False,chair/ShapeNet/3684490885c259e688235335f9e630b0,chair/ShapeNet/341e24df542e0676d42b9650f19dd425,False,chair,chair,0,"['it', 'looks', 'more', 'calm']",4,it looks more calm,train,test,train,test,"[1, 23, 33, 34, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1379,the top of the back of the chair is more curved,3TR2532VIRNC5GDVTJ1FH5DU0JB6JP,113,5c247c042e5fa6077b712dacb1db0737,chair,ShapeNet,60d11f54c4d3e1d856232348d1bf86cc,chair,ShapeNet,False,chair/ShapeNet/60d11f54c4d3e1d856232348d1bf86cc,chair/ShapeNet/5c247c042e5fa6077b712dacb1db0737,True,chair,chair,0,"['the', 'top', 'of', 'the', 'back', 'of', 'the', 'chair', 'is', 'more', 'curved']",11,the top of the back of the chair is more curved,train,test,train,test,"[1, 10, 99, 38, 10, 183, 38, 10, 2251, 7, 34, 51, 2, 0, 0, 0, 0, 0, 0, 0]"
